player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Patty Mills,millspa02,BRK,Movement Shooter,"2,346",PG,33,,-1.06,0.46,-1.53,2,-1.47,-0.06,-1.42,0.49,1.41,-0.93
Santi Aldama,aldamsa01,MEM,Stretch Big,360,PF,21,,-1.06,-0.11,-0.95,0.3,-1.67,-0.85,-0.82,1.68,1.2,0.48
Udonis Haslem,hasleud01,MIA,Roll + Cut Big,83,C,41,,-1.08,-1.03,-0.05,0.1,-0.78,-0.77,-0.01,0.2,0.14,0.07
Justin Holiday,holidju01,IND/SAC,Movement Shooter,"2,057",SF-SG,33,,-1.08,-0.94,-0.14,1.7,-1.37,-0.6,-0.77,0.95,-0.63,1.58
Troy Brown Jr.,browntr01,CHI,Athletic Finisher,"1,055",SF,22,,-1.08,-1.26,0.18,0.9,-1.53,-1.5,-0.03,-0.59,-1.12,0.53
Taurean Prince,princta02,MIN,Stationary Shooter,"1,177",PF,28,,-1.09,-0.76,-0.33,1,-1.01,-0.81,-0.2,-2.04,-1.07,-0.97
Daniel Theis,theisda01,HOU/BOS,Stretch Big,977,C,30,,-1.09,-2.01,0.92,0.8,-0.8,-1.18,0.39,-1.93,-1.98,0.05
Udoka Azubuike,azubuud01,UTA,Roll + Cut Big,195,C,22,,-1.09,-1.49,0.4,0.2,-1.09,-1.46,0.37,0.25,0.03,0.22
Kevin Knox,knoxke01,NYK/ATL,Stationary Shooter,222,SF,22,,-1.09,-0.34,-0.76,0.2,-0.78,-0.4,-0.38,-0.37,0.15,-0.53
Vlatko Cancar,cancavl01,DEN,Stretch Big,176,PF,25,,-1.1,-1.21,0.11,0.1,-1.29,-1.09,-0.19,-0.52,-0.21,-0.31
Juwan Morgan,morgaju01,TOR/BOS,Stretch Big,31,PF,24,,-1.1,-0.6,-0.5,0,-0.97,-0.58,-0.4,0,0,0
Tyler Johnson,johnsty01,PHI/SAS,Stationary Shooter,91,PG,29,,-1.11,-0.63,-0.49,0.1,-1.1,-0.66,-0.44,0,0,0
Theo Pinson,pinsoth01,DAL,Stationary Shooter,148,SF,26,,-1.11,-0.66,-0.45,0.1,-0.76,-0.54,-0.22,0,0,0
Chris Silva,silvach01,MIN/MIA,Roll + Cut Big,91,PF,25,,-1.11,-1.01,-0.09,0.1,-0.74,-0.69,-0.05,0,0,0
Alize Johnson,johnsal02,CHI/WAS/NOP,Roll + Cut Big,167,PF,25,,-1.13,-0.56,-0.57,0.1,-0.88,-0.69,-0.19,-1.44,0.07,-1.51
Carsen Edwards,edwarca01,DET,Secondary Ball Handler,79,SG,24,,-1.13,-0.58,-0.55,0.1,-0.69,-0.44,-0.24,0,0,0
Malik Fitts,fittsma01,UTA/BOS,Movement Shooter,63,PF,24,,-1.13,-0.34,-0.79,0.1,-0.74,-0.18,-0.56,-0.41,-0.25,-0.16
Josh Okogie,okogijo01,MIN,Athletic Finisher,516,SG,23,,-1.14,-2.4,1.26,0.4,-2.17,-2.19,0.02,1.73,0.26,1.47
Arnoldas Kulboka,kulboar01,CHO,Low Minute,5,SF,24,,-1.14,-0.5,-0.64,0,-1,-0.45,-0.55,-0.24,-0.04,-0.2
Saddiq Bey,beysa01,DET,Movement Shooter,"2,704",SF,23,,-1.14,0.26,-1.4,2.2,-1.64,-0.21,-1.43,-0.12,-0.11,0.01
Paris Bass,basspa01,PHO,Stretch Big,7,SF,26,,-1.15,-0.41,-0.74,0,-1.18,-0.41,-0.77,0,0,0
Talen Horton-Tucker,hortota01,LAL,Secondary Ball Handler,"1,511",SG,21,,-1.15,-1.06,-0.09,1.2,-1.65,-1.3,-0.35,0.53,-0.34,0.87
Shaq Buchanan,buchash01,MEM,Stretch Big,10,PG,25,,-1.15,-0.44,-0.71,0,-1.26,-0.54,-0.71,0,0,0
Aaron Henry,henryaa01,PHI,Low Minute,17,SF,22,,-1.15,-0.54,-0.61,0,-1.09,-0.49,-0.61,0.01,0.01,0.02
Jock Landale,landajo01,SAS,Stretch Big,589,C,26,,-1.17,-0.13,-1.04,0.5,-1.46,-0.29,-1.17,0.34,0.06,0.28
Frank Kaminsky,kaminfr01,PHO,Roll + Cut Big,181,C,29,,-1.18,-1.28,0.1,0.1,-1.07,-0.71,-0.36,-0.27,-0.9,0.63
Solomon Hill,hillso01,ATL,Athletic Finisher,139,PF,31,,-1.19,-1.51,0.32,0.1,-1.12,-1.15,0.03,-0.14,-0.76,0.62
Quentin Grimes,grimequ01,NYK,Stationary Shooter,786,SG,21,,-1.19,-1.21,0.02,0.6,-1.2,-0.87,-0.33,0.24,0.32,-0.09
Jahmi'us Ramsey,ramseja01,SAC,Secondary Ball Handler,134,SG,20,,-1.19,-0.54,-0.65,0.1,-1.21,-0.73,-0.48,0.13,0.7,-0.57
Luka Garza,garzalu01,DET,Stretch Big,389,C,23,,-1.19,-0.04,-1.15,0.3,-1.36,-0.06,-1.3,-0.45,-0.58,0.13
M.J. Walker,walkemj01,PHO,Movement Shooter,8,SG,24,,-1.19,-0.41,-0.78,0,-1.19,-0.43,-0.76,0,0,0
Malcolm Hill,hillma01,ATL/CHI,Stationary Shooter,212,SF-SG,26,,-1.2,-0.93,-0.28,0.2,-1.03,-0.77,-0.26,0,0,0
Ed Davis,davised01,CLE,Roll + Cut Big,201,C,32,,-1.21,-2.3,1.09,0.2,-1.2,-2.24,1.04,-0.69,-0.57,-0.11
Tyrell Terry,terryty01,MEM,Secondary Ball Handler,3,PG,21,,-1.21,-0.48,-0.73,0,-1.24,-0.53,-0.71,0,0,0
Justin Jackson,jacksju01,BOS/PHO,Stationary Shooter,36,SF,27,,-1.22,-0.62,-0.6,0,-1.26,-0.48,-0.78,0,0,0
Daishen Nix,nixda01,HOU,Secondary Ball Handler,261,SG,20,,-1.22,-0.96,-0.26,0.2,-1.2,-1.01,-0.2,-0.08,-0.07,-0.02
Trevor Ariza,arizatr01,LAL,Stationary Shooter,462,SF,36,,-1.23,-1.14,-0.09,0.3,-1.13,-1.43,0.29,0,0,0
Rodney McGruder,mcgruro01,DET,Stationary Shooter,754,SG,30,,-1.23,-0.91,-0.32,0.6,-2.11,-1.28,-0.83,0.71,0.05,0.67
Hamidou Diallo,diallha01,DET,Athletic Finisher,"1,269",SG,23,,-1.23,-1.81,0.59,0.9,-0.99,-1.22,0.23,0.3,-0.38,0.67
Jaden McDaniels,mcdanja02,MIN,Athletic Finisher,"1,803",PF,21,,-1.23,-2.06,0.83,1.3,-1.74,-1.79,0.04,0.15,-1.1,1.25
Sam Hauser,hausesa01,BOS,Movement Shooter,158,SF,24,,-1.23,-0.49,-0.74,0.1,-1.23,-0.43,-0.79,-0.12,-0.19,0.06
Isaac Bonga,bongais01,TOR,Stretch Big,69,SF,22,,-1.24,-0.98,-0.26,0.1,-1.13,-0.91,-0.22,-0.13,-0.28,0.15
DaQuan Jeffries,jeffrda01,MEM,Stretch Big,9,SG,24,,-1.24,-0.52,-0.72,0,-1.26,-0.56,-0.7,0,0,0
Payton Pritchard,pritcpa01,BOS,Secondary Ball Handler,"1,001",SG,24,,-1.24,-0.05,-1.2,0.7,-0.31,0.78,-1.09,-1.6,-1.22,-0.38
Zavier Simpson,simpsza01,OKC,Shot Creator,174,PG,25,,-1.24,-1.21,-0.03,0.1,-0.5,-1.05,0.55,0,0,0
Sam Merrill,merrisa01,MEM,Movement Shooter,58,SG,25,,-1.25,-0.5,-0.75,0,-1.38,-0.52,-0.85,0.3,0.06,0.23
Khem Birch,birchkh01,TOR,Roll + Cut Big,991,C,29,,-1.26,-0.84,-0.42,0.7,-1.41,-1.55,0.14,0.79,0.84,-0.06
Corey Kispert,kispeco01,WAS,Movement Shooter,"1,801",SF,23,,-1.26,0.28,-1.55,1.3,-2.16,-1.06,-1.1,-0.21,0.62,-0.84
Alex Len,lenal01,SAC,Roll + Cut Big,620,C,28,,-1.27,-1.99,0.72,0.4,-1.42,-1.94,0.52,-0.39,-0.42,0.03
Jonathan Kuminga,kuminjo01,GSW,Stretch Big,"1,185",SF,19,,-1.28,-0.49,-0.79,0.8,-0.06,-0.08,0.02,0.7,0.14,0.56
Jon Teske,teskejo01,MEM,Roll + Cut Big,8,C,24,,-1.28,-0.55,-0.73,0,-1.25,-0.56,-0.7,0,0,0
Jalen Suggs,suggsja01,ORL,Primary Ball Handler,"1,307",PG,20,,-1.28,-2.2,0.91,0.9,-1.62,-1.77,0.15,-0.52,-0.7,0.18
Eric Bledsoe,bledser01,LAC,Primary Ball Handler,"1,361",PG,32,,-1.29,-1.48,0.19,0.9,-0.63,-0.86,0.23,-2.53,-1.62,-0.91
Stanley Johnson,johnsst04,LAL,Athletic Finisher,"1,094",PF,25,,-1.3,-0.64,-0.66,0.8,-1.45,-1.65,0.2,0,0,0
Luguentz Dort,dortlu01,OKC,Stationary Shooter,"1,665",SF,22,,-1.31,-1.2,-0.11,1.1,-1.53,-0.86,-0.66,-0.38,-0.77,0.39
Olivier Sarr,sarrol01,OKC,Stretch Big,421,C,23,,-1.31,-2.19,0.87,0.3,-1.98,-2.25,0.28,0,0,0
Chandler Hutchison,hutchch01,PHO,Roll + Cut Big,22,SF,25,,-1.33,-0.6,-0.72,0,-1.31,-0.59,-0.72,-0.03,-0.16,0.13
Nickeil Alexander-Walker,alexani01,NOP/UTA,Secondary Ball Handler,"1,466",SG,23,,-1.33,-0.73,-0.6,1,-1.32,-0.41,-0.91,-0.26,0.46,-0.73
PJ Dozier,doziepj01,DEN,Movement Shooter,340,SG,25,,-1.34,-1.45,0.11,0.2,-1.12,-1.09,-0.03,-0.28,-0.46,0.18
Ryan Arcidiacono,arcidry01,NYK,Movement Shooter,76,PG,28,,-1.35,-1.09,-0.26,0.1,-1.02,-0.83,-0.19,0,0,0
Danny Green,greenda02,PHI,Stationary Shooter,"1,353",SF,34,,-1.37,-2.14,0.77,0.9,-1.34,-1.68,0.34,1.95,0.17,1.78
Danuel House Jr.,houseda01,HOU/NYK/UTA,Stationary Shooter,727,SF,28,,-1.37,-1.13,-0.24,0.5,-0.6,-0.66,0.06,-2.65,-1.18,-1.47
Dakota Mathias,mathida01,MEM,Off Screen Shooter,16,SG,26,,-1.37,-0.63,-0.74,0,-1.27,-0.55,-0.72,0,0,0
Malachi Flynn,flynnma01,TOR,Shot Creator,537,PG,23,,-1.38,-0.31,-1.07,0.3,-1,-0.52,-0.48,-1.32,-0.42,-0.9
Jabari Parker,parkeja01,BOS,Stretch Big,112,PF,27,,-1.39,-0.65,-0.74,0.1,-1.23,-0.63,-0.59,-0.24,0.51,-0.75
Wes Iwundu,iwundwe01,ATL,Athletic Finisher,82,SF,27,,-1.4,-0.88,-0.52,0.1,-1.06,-0.88,-0.18,0,0,0
Taj Gibson,gibsota01,NYK,Roll + Cut Big,946,C,36,,-1.41,-2.39,0.98,0.6,-1.42,-2.47,1.05,-1.16,-1.45,0.29
Marquese Chriss,chrisma01,DAL,Roll + Cut Big,346,PF,24,,-1.41,-1.78,0.37,0.2,-0.25,-0.97,0.71,0,0,0
Dalano Banton,bantoda01,TOR,Athletic Finisher,696,SF,22,,-1.41,-1.62,0.21,0.4,-1.9,-1.86,-0.04,0.18,0.15,0.02
Jamorko Pickett,pickeja01,DET,Stretch Big,176,PF,24,,-1.41,-1.06,-0.35,0.1,-1.28,-1.31,0.03,0.14,-0.11,0.25
Trent Forrest,forretr01,UTA,Slasher,765,PG,23,,-1.42,-1.01,-0.41,0.5,-1.39,-1.26,-0.12,0.24,-0.1,0.34
Drew Eubanks,eubandr01,SAS/POR,Roll + Cut Big,"1,245",C,25,,-1.43,-1.34,-0.09,0.8,-0.49,-0.82,0.33,-0.77,-1.34,0.58
Jericho Sims,simsje01,NYK,Roll + Cut Big,555,PF,23,,-1.43,-2.76,1.32,0.3,-1.64,-2.9,1.26,0.23,-0.11,0.35
Kevin Pangos,pangoke01,CLE,Secondary Ball Handler,166,PG,29,,-1.43,-0.73,-0.7,0.1,-1.2,-0.71,-0.5,-1.21,-0.77,-0.45
Ty Jerome,jeromty01,OKC,Secondary Ball Handler,801,SG,24,,-1.44,-0.99,-0.45,0.5,-1.35,-0.47,-0.87,-0.27,-0.63,0.36
Rajon Rondo,rondora01,LAL/CLE,Secondary Ball Handler,698,PG,36,,-1.45,-1.48,0.04,0.4,-0.62,-0.67,0.05,-0.11,-0.72,0.6
Anfernee Simons,simonan01,POR,Shot Creator,"1,681",SG,22,,-1.45,0.86,-2.31,1,-2.45,0.48,-2.93,0.72,0.5,0.22
Jalen McDaniels,mcdanja01,CHO,Stationary Shooter,895,SF,24,,-1.45,-1.46,0.01,0.5,-1.45,-1.34,-0.11,-0.77,-0.28,-0.49
Jalen Johnson,johnsja05,ATL,Stretch Big,120,PF,20,,-1.45,-1.27,-0.17,0.1,-1.11,-1.03,-0.08,0.01,-0.11,0.11
Paul Watson,watsopa01,OKC,Stationary Shooter,156,SF,27,,-1.47,-1.33,-0.14,0.1,-1.07,-1.36,0.29,-0.97,-0.1,-0.87
Lou Williams,willilo02,ATL,Secondary Ball Handler,799,PG,35,,-1.48,-0.31,-1.17,0.5,-1.31,-0.31,-0.99,-0.16,-0.27,0.12
Keita Bates-Diop,bateske01,SAS,Roll + Cut Big,957,SF,26,,-1.49,-1.82,0.33,0.5,-2.05,-1.87,-0.18,2.93,1.06,1.87
Raul Neto,netora01,WAS,Slasher,"1,372",PG,29,,-1.5,-0.8,-0.7,0.8,-1.36,-0.84,-0.52,0.6,0.35,0.25
James Johnson,johnsja01,BRK,Stretch Big,"1,191",PF,35,,-1.51,-1.21,-0.29,0.7,-1.36,-1.67,0.31,0.19,0.19,0.01
Maurice Harkless,harklma01,SAC,Stationary Shooter,863,SF,28,,-1.51,-2.32,0.81,0.5,-2.37,-2.9,0.53,0.15,0.07,0.07
Mamadi Diakite,diakima01,OKC,Roll + Cut Big,188,PF,25,,-1.51,-2.27,0.77,0.1,-0.93,-1.81,0.88,0,0,0
Lance Stephenson,stephla01,ATL/IND,Secondary Ball Handler,814,SG-SF,31,,-1.52,0.03,-1.55,0.5,-0.88,-0.05,-0.82,0,0,0
Sterling Brown,brownst02,DAL,Stationary Shooter,628,SG,27,,-1.52,-1.94,0.41,0.3,-1.54,-1.83,0.28,-0.65,-0.58,-0.07
Gabe Vincent,vincega01,MIA,Primary Ball Handler,"1,589",PG,25,,-1.52,-1.64,0.12,0.9,-0.7,-0.65,-0.05,0.77,-0.56,1.34
Justin Champagnie,champju01,TOR,Stretch Big,281,SF,20,,-1.52,-0.76,-0.76,0.2,-1.88,-1.3,-0.58,0.22,-0.14,0.36
Damion Lee,leeda03,GSW,Movement Shooter,"1,256",SG,29,,-1.54,-0.89,-0.65,0.7,-0.88,-0.97,0.08,0.01,0.3,-0.29
Kai Jones,joneska01,CHO,Roll + Cut Big,63,C,21,,-1.54,-0.96,-0.58,0,-1.38,-0.9,-0.48,-0.4,-0.23,-0.17
Tim Frazier,fraziti01,ORL/CLE,Secondary Ball Handler,208,PG,31,,-1.55,-1.52,-0.03,0.1,-1.28,-1.31,0.03,0,0,0
Mychal Mulder,muldemy01,ORL/MIA,Movement Shooter,240,PG,27,,-1.55,-1.27,-0.28,0.1,-1.45,-1.27,-0.18,-0.59,-0.27,-0.32
Myles Powell,powelmy01,PHI,Secondary Ball Handler,52,PG,24,,-1.55,-0.75,-0.8,0,-1.37,-0.7,-0.66,0,0,0
Joe Wieskamp,wieskjo01,SAS,Movement Shooter,205,SG,22,,-1.55,-0.98,-0.57,0.1,-2.01,-1.33,-0.68,0.08,0.15,-0.06
Emanuel Terry,terryem01,PHO,Roll + Cut Big,18,PF,25,,-1.57,-0.67,-0.9,0,-1.24,-0.48,-0.77,0,0,0
Bryn Forbes,forbebr01,SAS/DEN,Off Screen Shooter,"1,286",SG,28,,-1.58,-0.33,-1.25,0.7,-2.16,-0.38,-1.78,1.01,0.59,0.42
Willie Cauley-Stein,caulewi01,DAL/PHI,Roll + Cut Big,183,C,28,,-1.59,-1.78,0.19,0.1,-1.78,-1.67,-0.11,0.27,-0.19,0.46
Lindell Wigginton,wiggili01,MIL,Secondary Ball Handler,199,PG,24,,-1.59,-0.63,-0.96,0.1,-1.11,-0.79,-0.33,0,0,0
Reggie Perry,perryre01,POR/IND,Roll + Cut Big,187,PF,22,,-1.6,-0.98,-0.61,0.1,-0.81,-0.8,-0.02,0,0,0
De'Andre Hunter,huntede01,ATL,Stationary Shooter,"1,577",SF,24,,-1.6,-1.77,0.17,0.8,-1.24,-0.9,-0.34,-1.35,-0.77,-0.59
Kenyon Martin Jr.,martike04,HOU,Stretch Big,"1,656",SF,21,,-1.61,0.28,-1.88,0.8,-1.98,-0.94,-1.05,0.92,1.66,-0.74
Matt Thomas,thomama02,CHI,Movement Shooter,459,SG,27,,-1.62,-0.62,-1,0.2,-1.79,-0.96,-0.83,-0.64,-0.43,-0.21
Serge Ibaka,ibakase01,LAC/MIL,Stretch Big,878,C-PF,32,,-1.63,-1.82,0.19,0.4,-0.7,-1.18,0.48,-1.45,-0.51,-0.94
Kris Dunn,dunnkr01,POR,Secondary Ball Handler,336,PG,28,,-1.63,-1.02,-0.61,0.2,-1.18,-1.37,0.19,0,0,0
Jae'Sean Tate,tateja01,HOU,Stretch Big,"2,056",SF,26,,-1.63,-1.25,-0.38,1,-1.39,-0.81,-0.57,-1.72,-1.24,-0.48
Brad Wanamaker,wanambr01,IND/WAS,Secondary Ball Handler,320,PG,32,,-1.67,-1.61,-0.06,0.1,-1.77,-1.54,-0.23,-0.2,-0.41,0.21
Kessler Edwards,edwarke02,BRK,Stretch Big,987,SF,21,,-1.67,-1.6,-0.06,0.4,-2.26,-2.19,-0.06,0.07,0.06,0.02
Nick Richards,richani01,CHO,Roll + Cut Big,367,C,24,,-1.68,-2.42,0.74,0.2,-1.67,-2.1,0.43,0.35,-0.44,0.8
Jake Layman,laymaja01,MIN,Athletic Finisher,231,SF,28,,-1.69,-1.34,-0.35,0.1,-1.9,-1.44,-0.46,0.1,0.11,0.01
Dennis Schroder,schrode01,BOS/HOU,Stationary Shooter,"1,837",SG-PG,28,,-1.71,-1.18,-0.54,0.8,-0.47,0.14,-0.61,-0.13,-0.12,0.01
Norman Powell,powelno01,POR/LAC,Stationary Shooter,"1,458",SF-SG,28,,-1.71,0.29,-2,0.6,-1.07,0,-1.07,0.47,1.25,-0.78
Alperen Sengun,sengual01,HOU,Post Scorer,"1,489",C,19,,-1.71,-1.04,-0.67,0.6,-0.62,-0.68,0.06,-2.2,-0.09,-2.11
Killian Tillie,tilliki02,MEM,Stretch Big,461,C,24,,-1.72,-1.79,0.07,0.2,-1.89,-2,0.11,0.64,0.67,-0.02
Facundo Campazzo,campafa01,DEN,Secondary Ball Handler,"1,184",PG,31,,-1.72,-1.77,0.05,0.5,0.23,-0.27,0.49,-4.09,-1.95,-2.13
Javonte Smart,smartja01,MIL/MIA,Secondary Ball Handler,200,PG,22,,-1.72,-1.34,-0.39,0.1,-1.27,-1.01,-0.26,0.84,0.38,0.46
Josh Green,greenjo02,DAL,Athletic Finisher,"1,039",SG,21,,-1.73,-2.06,0.33,0.4,-1.59,-1.89,0.29,1.43,0.34,1.09
Aaron Nesmith,nesmiaa01,BOS,Stationary Shooter,574,SF,22,,-1.77,-1.51,-0.26,0.2,-2.27,-1.74,-0.52,-1.44,-0.91,-0.52
Wesley Matthews,matthwe02,MIL,Stationary Shooter,"1,002",SG,35,,-1.78,-1.29,-0.48,0.4,-2.54,-1.92,-0.62,0.99,0.55,0.44
Furkan Korkmaz,korkmfu01,PHI,Movement Shooter,"1,414",SG,24,,-1.78,-0.62,-1.16,0.5,-1.56,-0.53,-1.03,-1.19,-0.75,-0.44
Haywood Highsmith,highsha01,MIA,Stretch Big,163,SF,25,,-1.8,-1.2,-0.6,0.1,-1.33,-1,-0.33,0,0,0
Eric Paschall,pascher01,UTA,Stationary Shooter,737,PF,25,,-1.8,-0.1,-1.71,0.3,-1.17,0.09,-1.26,-0.54,-0.43,-0.11
Ish Wainright,wainris01,PHO,Athletic Finisher,359,PF,27,,-1.8,-1.43,-0.37,0.1,-2.45,-1.88,-0.57,0.12,0.01,0.13
Grant Williams,willigr01,BOS,Stationary Shooter,"1,875",PF,23,,-1.81,-1.82,0.01,0.7,-0.71,-1.44,0.73,-1.04,-1.13,0.09
Ayo Dosunmu,dosunay01,CHI,Primary Ball Handler,"2,110",SG,22,,-1.81,-1.39,-0.42,0.8,-1.88,-1.55,-0.33,-0.68,-0.85,0.18
Marcus Morris,morrima03,LAC,Shot Creator,"1,564",PF,32,,-1.82,-0.44,-1.38,0.6,-0.28,0.01,-0.3,-0.55,-0.07,-0.49
Patrick Williams,willipa01,CHI,Stationary Shooter,422,PF,20,,-1.83,-1.62,-0.21,0.1,-1.64,-1.72,0.08,-0.45,-0.63,0.17
Cassius Stanley,stanlca01,DET,Athletic Finisher,155,SG,22,,-1.83,-1.44,-0.39,0.1,-1.56,-1.41,-0.15,0,0,0
Svi Mykhailiuk,mykhasv01,TOR,Movement Shooter,716,SF,24,,-1.84,-1.31,-0.53,0.2,-2.11,-1.36,-0.75,-0.77,-0.38,-0.39
Kevin Porter Jr.,porteke02,HOU,Primary Ball Handler,"1,907",PG,21,,-1.85,-0.92,-0.93,0.6,-0.89,0.23,-1.13,-1.07,-1.22,0.14
Josh Giddey,giddejo01,OKC,Primary Ball Handler,"1,700",SG,19,,-1.85,-2.02,0.17,0.6,-1.33,-1.22,-0.12,-4.06,-3.27,-0.79
Donte DiVincenzo,divindo01,MIL/SAC,Secondary Ball Handler,"1,005",SG,25,,-1.86,-0.96,-0.9,0.3,-0.89,-0.42,-0.46,0,0,0
Denzel Valentine,valende01,CLE/UTA,Stationary Shooter,222,SG,28,,-1.87,-1.46,-0.41,0.1,-1.61,-1.17,-0.44,-1.06,-1.14,0.08
Tomas Satoransky,satorto01,NOP/SAS/WAS,Secondary Ball Handler,906,SG,30,,-1.88,-1.69,-0.19,0.3,-0.93,-1.02,0.09,-1.03,-1.4,0.37
Cedi Osman,osmande01,CLE,Movement Shooter,"1,462",SF,27,,-1.88,-0.36,-1.51,0.5,-0.39,0.26,-0.65,-1.59,0.08,-1.67
Kyle Guy,guyky01,MIA,Movement Shooter,186,SG,24,,-1.88,-1.39,-0.49,0.1,-1.3,-0.82,-0.49,0,0,0
Killian Hayes,hayeski01,DET,Primary Ball Handler,"1,647",PG,20,,-1.9,-2.51,0.61,0.5,-2.23,-2.52,0.29,-2.19,-1.77,-0.42
Timothe Luwawu-Cabarrot,luwawti01,ATL,Stationary Shooter,685,SF,26,,-1.91,-1.74,-0.17,0.2,-1.71,-1.24,-0.48,-0.72,-0.82,0.1
Charlie Brown Jr.,brownch02,DAL/PHI,Stretch Big,178,SG,25,,-1.91,-1.58,-0.33,0.1,-1.92,-1.39,-0.53,0,0,0
Kent Bazemore,bazemke01,LAL,Stationary Shooter,545,SF,32,,-1.92,-2.88,0.96,0.2,-1.99,-2.23,0.24,-0.46,-1.18,0.72
DeAndre' Bembry,bembrde01,BRK/MIL,Roll + Cut Big,"1,026",SF,27,,-1.92,-1.69,-0.22,0.3,-1.14,-1.9,0.76,-1.39,-0.2,-1.19
Melvin Frazier,frazime01,OKC,Slasher,120,SG,25,,-1.93,-1.07,-0.86,0,-1.25,-0.93,-0.32,0,0,0
Brandon Boston Jr.,bostobr01,LAC,Secondary Ball Handler,760,SG,20,,-1.93,-1.49,-0.44,0.2,-1.38,-0.95,-0.43,-1.25,-0.99,-0.26
Gary Harris,harriga01,ORL,Stationary Shooter,"1,730",SG,27,,-1.96,-1.54,-0.42,0.5,-2.75,-1.77,-0.98,-0.4,-0.34,-0.05
Eric Gordon,gordoer01,HOU,Secondary Ball Handler,"1,670",SG,33,,-1.98,-0.33,-1.65,0.4,-2.68,-0.82,-1.87,-1.27,-0.74,-0.53
Tyler Cook,cookty01,CHI,Roll + Cut Big,200,PF,24,,-1.98,-1.68,-0.29,0.1,-1.29,-1.51,0.22,-0.61,-0.05,-0.56
Carmelo Anthony,anthoca01,LAL,Versatile Big,"1,793",PF,37,,-2,-0.3,-1.7,0.4,-0.76,-0.06,-0.7,-1.85,0.13,-1.99
Jevon Carter,carteje01,BRK/MIL,Secondary Ball Handler,905,PG,26,,-2.01,-1.13,-0.88,0.2,-1.72,-1.28,-0.44,-1.8,-1.24,-0.56
Yves Pons,ponsyv01,MEM,Stretch Big,71,SF,22,,-2.01,-1.05,-0.96,0,-1.64,-1.02,-0.62,-0.08,-0.02,-0.06
Dylan Windler,windldy01,CLE,Stationary Shooter,459,SF,25,,-2.03,-2.13,0.1,0.1,-1.45,-1.56,0.11,-2,-1.4,-0.59
Theo Maledon,maledth01,OKC,Stationary Shooter,908,PG,20,,-2.03,-1.41,-0.62,0.2,-1.54,-1.21,-0.33,-0.48,-0.67,0.19
Ish Smith,smithis01,CHO/WAS,Slasher,"1,126",PG,33,,-2.05,-1.45,-0.6,0.2,-1.17,-1.02,-0.16,-1.22,-1.07,-0.16
Lamar Stevens,stevela01,CLE,Athletic Finisher,"1,015",PF,24,,-2.05,-2.22,0.17,0.2,-1.86,-1.95,0.1,0.03,0.06,-0.03
Moses Moody,moodymo01,GSW,Stationary Shooter,607,SG,19,,-2.05,-1.3,-0.75,0.1,-1.52,-0.88,-0.63,0.17,-0.54,0.71
Collin Sexton,sextoco01,CLE,Slasher,316,SG,23,,-2.06,-1.24,-0.82,0.1,-1.65,-0.62,-1.03,-1.26,-1.24,-0.02
Georges Niang,niangge01,PHI,Stationary Shooter,"1,736",PF,28,,-2.07,-0.97,-1.1,0.3,-1.99,-0.93,-1.06,0.44,0.31,0.13
Zeke Nnaji,nnajize01,DEN,Stretch Big,698,PF,21,,-2.08,-1.58,-0.5,0.1,-1.36,-1.02,-0.34,-1.13,-0.2,-0.93
Darius Bazley,bazleda01,OKC,Stationary Shooter,"1,924",PF,21,,-2.09,-2.11,0.03,0.4,-1.29,-2.01,0.72,-0.99,-0.77,-0.21
Jeremiah Robinson-Earl,robinje02,OKC,Stretch Big,"1,087",C,21,,-2.1,-1.97,-0.13,0.2,-1.43,-1.58,0.15,-2.47,-1.58,-0.89
Sandro Mamukelashvili,mamuksa01,MIL,Stretch Big,407,PF,22,,-2.11,-1.04,-1.08,0.1,-1.22,-0.69,-0.54,-1.06,-0.46,-0.61
Isaiah Livers,liveris01,DET,Stationary Shooter,383,SF,23,,-2.11,-1.33,-0.78,0.1,-1.78,-1.82,0.03,0,0,0
Lonnie Walker IV,walkelo01,SAS,Secondary Ball Handler,"1,612",SG,23,,-2.12,-0.28,-1.85,0.3,-1.39,-0.14,-1.25,-0.26,-0.07,-0.19
JT Thor,thorjt01,CHO,Athletic Finisher,262,PF,19,,-2.12,-1.63,-0.49,0,-1.53,-1.72,0.2,0.04,0.47,-0.43
Robin Lopez,lopezro01,ORL,Post Scorer,612,C,34,,-2.14,-1.44,-0.7,0.1,-2.54,-1.63,-0.91,0.19,0.13,0.07
Wayne Ellington,ellinwa01,LAL,Movement Shooter,810,SG,34,,-2.14,-1.36,-0.78,0.1,-1.87,-0.8,-1.06,-0.97,-0.3,-0.67
Trey Burke,burketr01,DAL,Secondary Ball Handler,441,PG,29,,-2.15,-0.94,-1.21,0.1,-2.1,-0.52,-1.57,0.32,-0.84,1.16
Josh Jackson,jacksjo02,DET/SAC,Stationary Shooter,830,SF,25,,-2.15,-1.84,-0.31,0.1,-1.45,-1.48,0.04,-1.6,-0.36,-1.24
