player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Isaac Okoro,okorois01,CLE,Athletic Finisher,"1,981",SF,21,,-0.48,-0.88,0.4,2.4,-1.25,-1.68,0.43,0.72,-0.18,0.9
Aleem Ford,fordal03,ORL,Stationary Shooter,74,SF,24,,-0.48,-0.59,0.11,0.1,-0.39,-0.57,0.19,0,0,0
Kevin Huerter,huertke01,ATL,Movement Shooter,"2,188",SG,23,,-0.49,-0.22,-0.27,2.7,-0.77,-0.16,-0.61,1.16,0.5,0.66
Chuma Okeke,okekech01,ORL,Stationary Shooter,"1,749",PF,23,,-0.49,-1.66,1.17,2.1,-0.53,-1.46,0.93,-0.17,-0.12,-0.06
Caleb Martin,martica02,MIA,Athletic Finisher,"1,372",SF,26,,-0.5,-1.06,0.55,1.7,-0.2,-0.84,0.65,0.62,0.48,0.15
Greg Monroe,monrogr01,MIN/WAS/MIL/UTA,Roll + Cut Big,195,C,31,,-0.51,-0.01,-0.51,0.2,-0.61,-0.39,-0.21,0,0,0
Kyle Anderson,anderky01,MEM,Athletic Finisher,"1,484",PF,28,,-0.51,-1.43,0.93,1.8,0.44,-0.95,1.39,-1.63,-0.02,-1.6
Max Strus,strusma01,MIA,Off Screen Shooter,"1,587",SF,26,,-0.51,0.04,-0.54,1.9,-0.18,0.32,-0.51,1.19,0.35,0.84
Derrick Favors,favorde01,OKC,Roll + Cut Big,653,C,30,,-0.52,-1.92,1.4,0.8,-1.18,-1.73,0.55,0.38,-0.52,0.9
Coby White,whiteco01,CHI,Secondary Ball Handler,"1,675",PG,22,,-0.52,1.15,-1.67,2,-1.39,-0.07,-1.32,0.24,0.53,-0.3
Feron Hunt,huntfe01,NYK,Roll + Cut Big,8,SF,22,,-0.53,-0.33,-0.21,0,-0.45,-0.25,-0.2,0,0,0
Cody Zeller,zelleco01,POR,Roll + Cut Big,355,C,29,,-0.54,-0.83,0.28,0.4,-0.94,-0.87,-0.07,-0.52,-0.06,-0.46
Justin Anderson,anderju01,CLE/IND,Stationary Shooter,316,SF,28,,-0.54,-0.06,-0.48,0.4,-0.14,-0.05,-0.09,0,0,0
Marvin Bagley III,baglema01,SAC/DET,Roll + Cut Big,"1,146",PF,23,,-0.54,-0.03,-0.51,1.4,-0.65,-0.34,-0.31,1.42,1.45,-0.03
Zylan Cheatham,cheatzy01,UTA,Stretch Big,5,SF,26,,-0.54,-0.03,-0.51,0,-0.45,0.07,-0.52,0,0,0
Juancho Hernangomez,hernaju01,BOS/SAS/UTA,Athletic Finisher,445,PF,26,,-0.55,-0.24,-0.32,0.5,-0.48,-0.42,-0.06,0.04,-0.32,0.36
