player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Jonathan Kuminga,GSW,Stretch Big,"1,185",SF,19,,-1.28,-0.49,-0.79,0.8,-0.06,-0.08,0.02,0.7,0.14,0.56
Jon Teske,MEM,Roll + Cut Big,8,C,24,,-1.28,-0.55,-0.73,0,-1.25,-0.56,-0.7,0,0,0
Jalen Suggs,ORL,Primary Ball Handler,"1,307",PG,20,,-1.28,-2.2,0.91,0.9,-1.62,-1.77,0.15,-0.52,-0.7,0.18
Eric Bledsoe,LAC,Primary Ball Handler,"1,361",PG,32,,-1.29,-1.48,0.19,0.9,-0.63,-0.86,0.23,-2.53,-1.62,-0.91
Stanley Johnson,LAL,Athletic Finisher,"1,094",PF,25,,-1.3,-0.64,-0.66,0.8,-1.45,-1.65,0.2,0,0,0
Luguentz Dort,OKC,Stationary Shooter,"1,665",SF,22,,-1.31,-1.2,-0.11,1.1,-1.53,-0.86,-0.66,-0.38,-0.77,0.39
Olivier Sarr,OKC,Stretch Big,421,C,23,,-1.31,-2.19,0.87,0.3,-1.98,-2.25,0.28,0,0,0
Chandler Hutchison,PHO,Roll + Cut Big,22,SF,25,,-1.33,-0.6,-0.72,0,-1.31,-0.59,-0.72,-0.03,-0.16,0.13
Nickeil Alexander-Walker,NOP/UTA,Secondary Ball Handler,"1,466",SG,23,,-1.33,-0.73,-0.6,1,-1.32,-0.41,-0.91,-0.26,0.46,-0.73
PJ Dozier,DEN,Movement Shooter,340,SG,25,,-1.34,-1.45,0.11,0.2,-1.12,-1.09,-0.03,-0.28,-0.46,0.18
Ryan Arcidiacono,NYK,Movement Shooter,76,PG,28,,-1.35,-1.09,-0.26,0.1,-1.02,-0.83,-0.19,0,0,0
Danny Green,PHI,Stationary Shooter,"1,353",SF,34,,-1.37,-2.14,0.77,0.9,-1.34,-1.68,0.34,1.95,0.17,1.78
Danuel House Jr.,HOU/NYK/UTA,Stationary Shooter,727,SF,28,,-1.37,-1.13,-0.24,0.5,-0.6,-0.66,0.06,-2.65,-1.18,-1.47
Dakota Mathias,MEM,Off Screen Shooter,16,SG,26,,-1.37,-0.63,-0.74,0,-1.27,-0.55,-0.72,0,0,0
Malachi Flynn,TOR,Shot Creator,537,PG,23,,-1.38,-0.31,-1.07,0.3,-1,-0.52,-0.48,-1.32,-0.42,-0.9
Jabari Parker,BOS,Stretch Big,112,PF,27,,-1.39,-0.65,-0.74,0.1,-1.23,-0.63,-0.59,-0.24,0.51,-0.75
Wes Iwundu,ATL,Athletic Finisher,82,SF,27,,-1.4,-0.88,-0.52,0.1,-1.06,-0.88,-0.18,0,0,0
Taj Gibson,NYK,Roll + Cut Big,946,C,36,,-1.41,-2.39,0.98,0.6,-1.42,-2.47,1.05,-1.16,-1.45,0.29
Marquese Chriss,DAL,Roll + Cut Big,346,PF,24,,-1.41,-1.78,0.37,0.2,-0.25,-0.97,0.71,0,0,0
Dalano Banton,TOR,Athletic Finisher,696,SF,22,,-1.41,-1.62,0.21,0.4,-1.9,-1.86,-0.04,0.18,0.15,0.02
Jamorko Pickett,DET,Stretch Big,176,PF,24,,-1.41,-1.06,-0.35,0.1,-1.28,-1.31,0.03,0.14,-0.11,0.25
Trent Forrest,UTA,Slasher,765,PG,23,,-1.42,-1.01,-0.41,0.5,-1.39,-1.26,-0.12,0.24,-0.1,0.34
Drew Eubanks,SAS/POR,Roll + Cut Big,"1,245",C,25,,-1.43,-1.34,-0.09,0.8,-0.49,-0.82,0.33,-0.77,-1.34,0.58
Jericho Sims,NYK,Roll + Cut Big,555,PF,23,,-1.43,-2.76,1.32,0.3,-1.64,-2.9,1.26,0.23,-0.11,0.35
Kevin Pangos,CLE,Secondary Ball Handler,166,PG,29,,-1.43,-0.73,-0.7,0.1,-1.2,-0.71,-0.5,-1.21,-0.77,-0.45
Ty Jerome,OKC,Secondary Ball Handler,801,SG,24,,-1.44,-0.99,-0.45,0.5,-1.35,-0.47,-0.87,-0.27,-0.63,0.36
Rajon Rondo,LAL/CLE,Secondary Ball Handler,698,PG,36,,-1.45,-1.48,0.04,0.4,-0.62,-0.67,0.05,-0.11,-0.72,0.6
Anfernee Simons,POR,Shot Creator,"1,681",SG,22,,-1.45,0.86,-2.31,1,-2.45,0.48,-2.93,0.72,0.5,0.22
Jalen McDaniels,CHO,Stationary Shooter,895,SF,24,,-1.45,-1.46,0.01,0.5,-1.45,-1.34,-0.11,-0.77,-0.28,-0.49
Jalen Johnson,ATL,Stretch Big,120,PF,20,,-1.45,-1.27,-0.17,0.1,-1.11,-1.03,-0.08,0.01,-0.11,0.11
Paul Watson,OKC,Stationary Shooter,156,SF,27,,-1.47,-1.33,-0.14,0.1,-1.07,-1.36,0.29,-0.97,-0.1,-0.87
Lou Williams,ATL,Secondary Ball Handler,799,PG,35,,-1.48,-0.31,-1.17,0.5,-1.31,-0.31,-0.99,-0.16,-0.27,0.12
Keita Bates-Diop,SAS,Roll + Cut Big,957,SF,26,,-1.49,-1.82,0.33,0.5,-2.05,-1.87,-0.18,2.93,1.06,1.87
Raul Neto,WAS,Slasher,"1,372",PG,29,,-1.5,-0.8,-0.7,0.8,-1.36,-0.84,-0.52,0.6,0.35,0.25
James Johnson,BRK,Stretch Big,"1,191",PF,35,,-1.51,-1.21,-0.29,0.7,-1.36,-1.67,0.31,0.19,0.19,0.01
Maurice Harkless,SAC,Stationary Shooter,863,SF,28,,-1.51,-2.32,0.81,0.5,-2.37,-2.9,0.53,0.15,0.07,0.07
Mamadi Diakite,OKC,Roll + Cut Big,188,PF,25,,-1.51,-2.27,0.77,0.1,-0.93,-1.81,0.88,0,0,0
Lance Stephenson,ATL/IND,Secondary Ball Handler,814,SG-SF,31,,-1.52,0.03,-1.55,0.5,-0.88,-0.05,-0.82,0,0,0
Sterling Brown,DAL,Stationary Shooter,628,SG,27,,-1.52,-1.94,0.41,0.3,-1.54,-1.83,0.28,-0.65,-0.58,-0.07
Gabe Vincent,MIA,Primary Ball Handler,"1,589",PG,25,,-1.52,-1.64,0.12,0.9,-0.7,-0.65,-0.05,0.77,-0.56,1.34
